Distance_m,X_m,Y_m,Z_m,Curvature_1/m,Speed_kph,gLat_g,gLong_g,mu_Longitudinal,mu_Lateral,mu_Combined,NormalLoad_per_Tyre_N,LongForce_per_Tyre_N,LatForce_per_Tyre_N,DrivingPhase
232.51573351630586,-393.0004129,-725.1203703,0.0,-0.09523313042462438,46.868079314451776,-1.6453881447379373,1.3004815213512229,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
233.74697395732431,-392.6945457,-723.9277269,0.0,-0.04426193002588894,50.4019077370776,-0.8844031655486282,1.097937051295702,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
235.67883293097128,-392.0850355,-722.0945394,0.0,0.037094964795939656,55.007366911416774,0.8828413530385592,0.988262548374402,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
237.75272174183786,-391.5784267,-720.0834794,0.0,0.13424213998078624,42.40109310393993,1.8983179903991312,-2.328594889947206,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
241.11669711828145,-391.9463906,-716.7396892,0.0,0.03668885302385762,52.92901392828857,0.8084398862294133,1.1733183909923075,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
244.29544980661746,-392.6688099,-713.6441151,0.0,-4.5182068002878917e-10,60.335877728820485,-1.2937291565945468e-08,1.0379320620324237,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Acceleration
254.18080439195427,-394.9154052,-704.0174311,0.0,-2.354121073676488e-10,78.83536191773328,-1.1507922212019998e-08,1.0242662399173637,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Acceleration
263.24720680889567,-396.9758813,-695.1882697,0.0,6.805213009258661e-11,92.24982996995934,4.555109940063134e-09,0.9955128737884306,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Acceleration
273.17156746451957,-399.2313413,-685.5236003,0.0,-7.01892452067969e-10,90.0900531142948,-4.480745209921737e-08,-0.1560572724165425,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Braking
278.41641834076285,-400.4233124,-680.4159917,0.0,0.014720630869632748,70.45260866975961,0.5747071108161209,-2.3639499613625885,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
282.818622236181,-401.7250948,-676.2106663,0.0,0.10269656157807086,48.47787122928937,1.8983180431306248,-2.3347624917718504,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
284.88659330631214,-402.9381034,-674.5358187,0.0,0.09234102694787699,51.12391925498819,1.8983180260403234,0.501206165127472,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
288.5611068627152,-405.7904744,-672.2193495,0.0,0.007456576278837262,54.31769749472117,0.17304065893266773,0.3604233802680373,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Acceleration
290.5316534475134,-407.3459297,-671.0095509,0.0,-0.07129548455090083,42.23414436271794,-1.000265790988985,-2.328437087423205,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
291.9110769165775,-408.3264551,-670.039304,0.0,-0.24875989621088204,31.148081820078605,-1.8983180259005747,-2.319351609310485,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
293.37951037017643,-408.9587987,-668.7139971,0.0,-0.06740135548997958,38.088540453008044,-0.7691008360405945,1.2869621313564248,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
295.1358393035351,-409.5391608,-667.0563267,0.0,-0.14157610640178883,41.28825322336746,-1.8983180386344178,0.5687150043388448,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
296.6364796147308,-409.701929,-665.5645399,0.0,-0.2941498329021855,28.64423225779554,-1.8983180187886823,-2.3173069170104723,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
298.2053604035156,-409.2005835,-664.0779197,0.0,-0.05896566001791103,36.4733581778724,-0.6169879160076682,1.2779611467340446,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
301.28838898161257,-407.8264096,-661.3180807,0.0,0.014124363857111867,48.477072947745405,0.26107643053370927,1.3007675661108917,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Acceleration
305.17823440904743,-406.2660361,-657.7549175,0.0,0.11844486344097817,45.14018911135738,1.898318022967972,-0.31583530515929387,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
308.5091840090475,-406.2660361,-654.4239679,0.0,0.03464899883322274,54.68194900471282,0.8149006281195396,1.124561693095053,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
313.8188563153982,-407.0546085,-649.17318,0.0,-2.570853240266488e-10,66.20272845496366,-8.862475622912917e-09,1.0315288890939986,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Acceleration
327.55186129899585,-409.0941823,-635.5924744,0.0,-4.271908776944383e-10,89.05362841509326,-2.6647176556978287e-08,1.0159752256182233,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Acceleration
343.5035352644722,-411.4632643,-619.8177049,0.0,7.619621137096168e-10,108.3259381686404,7.032735547656659e-08,0.9378333858337704,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Acceleration
349.4420877684568,-412.3452356,-613.9450111,0.0,-4.68510337381854e-10,90.06547332629187,-2.9892472632934887e-08,-2.3991096137399843,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Braking
355.59800252294536,-413.2594887,-607.8573656,0.0,0.004446442586363989,66.49054078320478,0.1546174158033296,-2.3578903914075062,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Braking
358.332539560232,-413.7189757,-605.161709,0.0,0.08637679680700722,52.859486983683105,1.8983180336495442,-2.3397213700398707,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
360.90024130493737,-414.707972,-602.7921144,0.0,0.04217202853438308,58.92500619413602,1.151727552494404,1.0384867598231966,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
363.36789530865883,-415.8938804,-600.6281048,0.0,0.0028837761306806835,54.251659920055886,0.06675957992326734,-0.8429398536484151,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Braking
366.6515434648329,-417.4957652,-597.7616941,0.0,-0.23982181657441545,31.72321112929282,-1.8983179861361952,-2.319755438280602,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
369.0600451246578,-417.2070764,-595.3705565,0.0,-0.1228580771318086,42.37493023481226,-1.7351926416514998,1.2887719205585761,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
371.20562712524526,-416.38039,-593.3906293,0.0,0.03880533908184589,48.43639967840911,0.7160794030604164,1.0089481173198018,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
372.7321994400769,-415.8938804,-591.9436561,0.0,0.16716942549411035,37.99645386506798,1.8983180373852853,-2.324640015317135,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
374.8031847746244,-415.8341016,-589.8735337,0.0,0.05532967478039602,46.06611840156736,0.9235222169148325,1.288181708259763,1.0855043940532614,1.4853806399499454,1.839748742368655,674.4375,732.1048697642965,1001.7964053562413,Combined
