Motor Speed [RPM],Continuous Power [kW],Peak Power [kW]
1621.621622,24.21837469,31.81792457
1626.626627,24.29368417,31.91938419
1631.631632,24.3690198,32.02099555
1636.636637,24.44438181,32.12275985
1641.641642,24.5197704,32.22467832
1646.646647,24.59518577,32.32675216
1651.651652,24.67062815,32.42898259
1656.656657,24.74609773,32.53137082
1661.661662,24.82159472,32.63391806
1666.666667,24.89711934,32.73662551
1671.671672,24.97267179,32.83949441
1676.676677,25.04825229,32.94252594
1681.681682,25.12386104,33.04572134
1686.686687,25.19949824,33.14908181
1691.691692,25.27516412,33.25260855
1696.696697,25.35085887,33.35630279
1701.701702,25.42658272,33.46016574
1706.706707,25.50233585,33.5641986
1711.711712,25.5781185,33.6684026
1716.716717,25.65393085,33.77277893
1721.721722,25.72977313,33.87732882
1726.726727,25.80564555,33.98205347
1731.731732,25.8815483,34.0869541
1736.736737,25.9574816,34.19203192
1741.741742,26.03344566,34.29728815
1746.746747,26.10944069,34.40272398
1751.751752,26.1854669,34.50834064
1756.756757,26.26152449,34.61413934
1761.761762,26.33761368,34.72012129
1766.766767,26.41373467,34.8262877
1771.771772,26.48988767,34.93263978
1776.776777,26.56607289,35.03917874
1781.781782,26.64229055,35.14590581
1786.786787,26.71854084,35.25282218
1791.791792,26.79482399,35.35992907
1796.796797,26.87114019,35.4672277
1801.801802,26.94748965,35.57471927
1806.806807,27.0238726,35.682405
1811.811812,27.10028922,35.79028609
1816.816817,27.17673974,35.89836377
1821.821822,27.25322436,36.00663924
1826.826827,27.3297433,36.11511372
1831.831832,27.40629675,36.22378841
1836.836837,27.48288493,36.33266453
1841.841842,27.55950805,36.44174329
1846.846847,27.63616632,36.55102591
1851.851852,27.71285994,36.66051358
1856.856857,27.78958913,36.77020754
1861.861862,27.86635409,36.88010898
1866.866867,27.94315504,36.99021913
1871.871872,28.01999217,37.10053918
1876.876877,28.09686571,37.21107037
1881.881882,28.17377586,37.32181388
1886.886887,28.25072282,37.43277095
