Slip Ratio [%],Longitudinal Force [N],Normal Load [N],Tyre Pressure [kPa],Temperature [C]
0.047,1180.61,667.0,200,25
0.046,1186.08,667.0,200,25
0.046,1211.2,667.0,200,25
0.046,1243.52,667.0,200,25
0.046,1258.73,667.0,200,25
0.045,1244.34,667.0,200,25
0.044,1199.24,667.0,200,25
0.042,1138.46,667.0,200,25
0.04,1081.79,667.0,200,25
0.039,1039.28,667.0,200,25
0.037,1012.83,667.0,200,25
0.037,1007.3,667.0,200,25
0.038,1026.79,667.0,200,25
0.039,1060.59,667.0,200,25
0.039,1106.49,667.0,200,25
0.039,1138.4,667.0,200,25
0.038,1139.21,667.0,200,25
0.037,1105.66,667.0,200,25
0.035,1041.78,667.0,200,25
0.032,970.26,667.0,200,25
0.031,908.98,667.0,200,25
0.029,867.87,667.0,200,25
0.029,840.67,667.0,200,25
0.028,827.91,667.0,200,25
0.027,820.75,667.0,200,25
0.026,823.6,667.0,200,25
0.025,828.98,667.0,200,25
0.024,831.8,667.0,200,25
0.023,818.96,667.0,200,25
0.022,783.34,667.0,200,25
0.021,733.09,667.0,200,25
0.019,675.91,667.0,200,25
0.017,625.15,667.0,200,25
0.017,583.73,667.0,200,25
0.015,542.72,667.0,200,25
0.014,498.28,667.0,200,25
0.012,451.32,667.0,200,25
0.011,409.51,667.0,200,25
0.009,386.98,667.0,200,25
0.009,394.17,667.0,200,25
0.009,418.98,667.0,200,25
0.009,441.33,667.0,200,25
0.009,442.53,667.0,200,25
0.01,420.66,667.0,200,25
0.009,385.91,667.0,200,25
0.008,338.44,667.0,200,25
0.007,276.12,667.0,200,25
0.005,200.04,667.0,200,25
0.003,119.4,667.0,200,25
0.001,44.11,667.0,200,25
0.0,-2.79,667.0,200,25
-0.001,-15.47,667.0,200,25
0.0,-1.44,667.0,200,25
0.0,8.17,667.0,200,25
-0.001,-11.84,667.0,200,25
-0.002,-69.52,667.0,200,25
-0.003,-141.23,667.0,200,25
-0.004,-213.49,667.0,200,25
-0.005,-272.95,667.0,200,25
-0.005,-318.92,667.0,200,25
-0.006,-351.01,667.0,200,25
-0.006,-367.66,667.0,200,25
-0.006,-370.26,667.0,200,25
-0.007,-354.05,667.0,200,25
-0.006,-330.91,667.0,200,25
-0.007,-320.74,667.0,200,25
-0.007,-348.26,667.0,200,25
-0.009,-407.87,667.0,200,25
-0.01,-479.16,667.0,200,25
-0.011,-536.94,667.0,200,25
-0.011,-582.85,667.0,200,25
-0.012,-621.28,667.0,200,25
-0.013,-662.09,667.0,200,25
-0.014,-709.01,667.0,200,25
-0.016,-757.04,667.0,200,25
-0.018,-803.69,667.0,200,25
-0.02,-839.8,667.0,200,25
-0.021,-864.76,667.0,200,25
-0.022,-885.37,667.0,200,25
-0.023,-908.63,667.0,200,25
-0.023,-933.37,667.0,200,25
-0.024,-958.42,667.0,200,25
-0.025,-983.32,667.0,200,25
-0.026,-1011.06,667.0,200,25
