Slip Angle [deg],Lateral Force [N],Normal Load [N],Camber Angle [deg],Tyre Pressure [kPa],Temperature [C]
6.57,572.13,200.0,0,200,25
6.57,579.41,200.0,0,200,25
6.53,589.97,200.0,0,200,25
6.48,599.23,200.0,0,200,25
6.42,603.61,200.0,0,200,25
6.38,605.81,200.0,0,200,25
6.35,601.42,200.0,0,200,25
6.3,593.09,200.0,0,200,25
6.27,580.09,200.0,0,200,25
6.21,570.25,200.0,0,200,25
6.18,565.83,200.0,0,200,25
6.16,565.57,200.0,0,200,25
6.08,571.47,200.0,0,200,25
6.07,581.03,200.0,0,200,25
6.0,589.73,200.0,0,200,25
5.98,596.66,200.0,0,200,25
5.95,600.81,200.0,0,200,25
5.9,600.23,200.0,0,200,25
5.86,592.66,200.0,0,200,25
5.82,580.05,200.0,0,200,25
5.8,566.64,200.0,0,200,25
5.74,558.43,200.0,0,200,25
5.71,554.27,200.0,0,200,25
5.65,558.55,200.0,0,200,25
5.63,563.36,200.0,0,200,25
5.57,569.76,200.0,0,200,25
5.53,579.5,200.0,0,200,25
5.5,585.47,200.0,0,200,25
5.48,587.98,200.0,0,200,25
5.43,585.52,200.0,0,200,25
5.39,575.52,200.0,0,200,25
5.33,563.82,200.0,0,200,25
5.29,554.26,200.0,0,200,25
5.27,546.36,200.0,0,200,25
5.21,543.85,200.0,0,200,25
5.17,547.33,200.0,0,200,25
5.16,552.94,200.0,0,200,25
5.11,561.59,200.0,0,200,25
5.07,568.45,200.0,0,200,25
5.02,574.01,200.0,0,200,25
4.96,572.05,200.0,0,200,25
4.95,565.78,200.0,0,200,25
4.91,554.41,200.0,0,200,25
4.86,542.89,200.0,0,200,25
4.82,533.94,200.0,0,200,25
4.77,529.31,200.0,0,200,25
4.72,529.82,200.0,0,200,25
4.71,533.25,200.0,0,200,25
4.66,539.62,200.0,0,200,25
4.64,547.38,200.0,0,200,25
4.58,552.52,200.0,0,200,25
4.53,554.81,200.0,0,200,25
4.51,551.19,200.0,0,200,25
4.45,541.97,200.0,0,200,25
4.42,530.31,200.0,0,200,25
4.42,518.69,200.0,0,200,25
4.36,511.0,200.0,0,200,25
4.3,507.57,200.0,0,200,25
4.27,508.97,200.0,0,200,25
4.24,513.64,200.0,0,200,25
4.21,521.83,200.0,0,200,25
4.15,528.66,200.0,0,200,25
4.13,531.59,200.0,0,200,25
4.06,531.82,200.0,0,200,25
