222N,,,667N,,,890N,,,1112N,,
SR,Fx [N],,SR,Fx [N],,SR,Fx [N],,SR,Fx [N],
0.00500,101.43000,,0.01700,625.15000,,0.02400,1007.40000,,0.00300,172.34000,
0.00400,73.09000,,0.01700,583.73000,,0.02300,960.87000,,0.00200,131.16000,
0.00400,58.75000,,0.01500,542.72000,,0.02000,896.42000,,0.00100,93.30000,
0.00400,51.87000,,0.01400,498.28000,,0.01800,830.29000,,0.00000,59.09000,
0.00500,43.18000,,0.01200,451.32000,,0.01600,780.66000,,0.00000,20.51000,
0.00400,25.76000,,0.01100,409.51000,,0.01500,748.81000,,-0.00100,-33.86000,
0.00200,1.98000,,0.00900,386.98000,,0.01400,724.71000,,-0.00200,-106.52000,
0.00000,-20.52000,,0.00900,394.17000,,0.01300,695.86000,,-0.00300,-186.04000,
-0.00200,-28.84000,,0.00900,418.98000,,0.01200,657.71000,,-0.00300,-255.01000,
-0.00200,-24.60000,,0.00900,441.33000,,0.01200,620.42000,,-0.00400,-307.84000,
-0.00300,-9.22000,,0.00900,442.53000,,0.01100,585.62000,,-0.00400,-353.83000,
-0.00300,-3.28000,,0.01000,420.66000,,0.01100,546.58000,,-0.00500,-406.44000,
-0.00300,-13.59000,,0.00900,385.91000,,0.00900,490.00000,,-0.00600,-475.03000,
-0.00400,-40.70000,,0.00800,338.44000,,0.00800,420.57000,,-0.00800,-551.66000,
-0.00500,-73.24000,,0.00700,276.12000,,0.00600,345.62000,,-0.00900,-617.00000,
-0.00600,-110.77000,,0.00500,200.04000,,0.00500,287.05000,,-0.00900,-651.13000,
-0.00700,-150.13000,,0.00300,119.40000,,0.00400,267.66000,,-0.00900,-650.20000,
-0.00900,-184.78000,,0.00100,44.11000,,0.00500,287.87000,,-0.00900,-628.95000,
-0.01100,-210.71000,,0.00000,-2.79000,,0.00500,317.72000,,-0.00900,-612.65000,
-0.01300,-225.44000,,-0.00100,-15.47000,,0.00400,319.15000,,-0.00800,-610.78000,
-0.01400,-224.32000,,0.00000,-1.44000,,0.00300,270.15000,,-0.00900,-626.67000,
-0.01500,-206.53000,,0.00000,8.17000,,0.00300,184.80000,,-0.00800,-655.78000,
-0.01400,-181.33000,,-0.00100,-11.84000,,0.00100,86.69000,,-0.01000,-705.45000,
-0.01400,-167.53000,,-0.00200,-69.52000,,0.00000,0.96000,,-0.01200,-789.21000,
-0.01500,-178.18000,,-0.00300,-141.23000,,-0.00100,-67.20000,,-0.01400,-901.70000,
-0.01700,-211.13000,,-0.00400,-213.49000,,-0.00200,-117.02000,,-0.01600,-1025.33000,
-0.01800,-252.53000,,-0.00500,-272.95000,,-0.00200,-153.05000,,-0.01800,-1135.75000,
-0.02000,-293.32000,,-0.00500,-318.92000,,-0.00300,-178.31000,,-0.01900,-1214.21000,
-0.02100,-327.85000,,-0.00600,-351.01000,,-0.00300,-194.41000,,-0.02000,-1244.81000,
-0.02200,-352.94000,,-0.00600,-367.66000,,-0.00400,-195.79000,,-0.02000,-1243.14000,
-0.02300,-367.58000,,-0.00600,-370.26000,,-0.00400,-200.95000,,-0.02100,-1240.09000,
-0.02500,-372.08000,,-0.00700,-354.05000,,-0.00500,-231.75000,,-0.02100,-1271.26000,
-0.02600,-368.02000,,-0.00600,-330.91000,,-0.00600,-297.36000,,-0.02300,-1343.28000,
-0.02800,-360.06000,,-0.00700,-320.74000,,-0.00700,-379.71000,,-0.02500,-1439.80000,
-0.02900,-349.39000,,-0.00700,-348.26000,,-0.00700,-449.18000,,-0.02700,-1539.82000,
-0.03100,-340.61000,,-0.00900,-407.87000,,-0.00700,-480.37000,,-0.02800,-1637.82000,
-0.03200,-339.65000,,-0.01000,-479.16000,,-0.00600,-477.97000,,-0.03000,-1721.10000,
-0.03300,-347.10000,,-0.01100,-536.94000,,-0.00500,-455.82000,,-0.03200,-1793.13000,
-0.03500,-360.76000,,-0.01100,-582.85000,,-0.00500,-434.89000,,-0.03300,-1851.67000,
-0.03500,-376.27000,,-0.01200,-621.28000,,-0.00600,-424.06000,,-0.03500,-1894.39000,
-0.03600,-397.72000,,-0.01300,-662.09000,,-0.00600,-436.45000,,-0.03600,-1919.54000,
-0.03500,-417.37000,,-0.01400,-709.01000,,-0.00700,-462.58000,,-0.03800,-1929.68000,
-0.03500,-431.35000,,-0.01600,-757.04000,,-0.00800,-498.95000,,-0.03800,-1938.46000,
-0.03500,-434.25000,,-0.01800,-803.69000,,-0.01000,-554.62000,,-0.03900,-1959.33000,
-0.03500,-427.51000,,-0.02000,-839.80000,,-0.01100,-635.71000,,-0.04000,-2005.21000,
-0.03700,-420.26000,,-0.02100,-864.76000,,-0.01300,-739.75000,,-0.04200,-2066.93000,
