222N,,,667N,,,890N,,,1112N,,
SR,Fx [N],,SR,Fx [N],,SR,Fx [N],,SR,Fx [N],
0.06300,422.68000,,0.00300,102.70000,,0.02000,1221.97000,,0.02300,1523.02000,
0.06500,447.61000,,0.00500,190.85000,,0.02200,1228.05000,,0.02600,1630.28000,
0.06700,451.98000,,0.00600,276.31000,,0.02300,1253.06000,,0.02800,1710.29000,
0.06700,438.14000,,0.00700,348.84000,,0.02600,1307.57000,,0.02900,1758.61000,
0.06800,420.00000,,0.00700,410.14000,,0.02800,1386.17000,,0.03000,1779.25000,
0.06800,404.97000,,0.00800,471.41000,,0.03100,1464.44000,,0.03100,1776.82000,
0.06800,393.91000,,0.01000,540.66000,,0.03300,1528.36000,,0.03000,1762.13000,
0.06900,381.00000,,0.01100,608.67000,,0.03400,1572.89000,,0.03000,1750.43000,
0.06900,364.47000,,0.01300,668.56000,,0.03500,1608.49000,,0.03000,1759.95000,
0.07100,361.02000,,0.01400,714.25000,,0.03500,1645.51000,,0.03100,1804.09000,
0.07100,375.58000,,0.01500,751.15000,,0.03600,1687.38000,,0.03300,1883.20000,
0.07400,407.49000,,0.01600,774.80000,,0.03800,1717.60000,,0.03500,1989.89000,
0.07500,443.52000,,0.01600,780.20000,,0.03900,1738.15000,,0.03800,2093.83000,
0.07800,466.85000,,0.01600,774.82000,,0.04100,1757.90000,,0.04100,2175.03000,
0.07900,469.04000,,0.01600,765.83000,,0.04300,1778.66000,,0.04400,2222.64000,
0.07900,452.00000,,0.01600,769.46000,,0.04500,1797.02000,,0.04500,2247.47000,
0.07900,430.60000,,0.01700,799.23000,,0.04600,1814.00000,,0.04700,2265.51000,
0.07900,417.62000,,0.01800,858.65000,,0.04700,1820.34000,,0.04800,2295.87000,
0.08000,403.55000,,0.02000,933.35000,,0.04700,1821.89000,,0.05000,2330.45000,
0.08100,391.79000,,0.02200,1000.14000,,0.04800,1830.39000,,0.05100,2373.26000,
0.08200,379.74000,,0.02300,1036.09000,,0.04800,1860.01000,,0.05300,2414.62000,
0.08400,378.54000,,0.02400,1041.71000,,0.04900,1912.36000,,0.05300,2455.50000,
0.08500,395.29000,,0.02500,1032.07000,,0.05100,1967.52000,,0.05400,2491.43000,
0.08600,427.85000,,0.02500,1010.93000,,0.05300,2005.92000,,0.05400,2513.27000,
0.08700,457.21000,,0.02500,992.28000,,0.05400,2019.32000,,0.05400,2512.08000,
0.08700,468.75000,,0.02500,975.06000,,0.05600,2014.00000,,0.05300,2482.50000,
0.08600,463.44000,,0.02500,970.50000,,0.05700,2005.11000,,0.05300,2439.92000,
0.08600,449.12000,,0.02500,988.37000,,0.05800,1994.72000,,0.05300,2401.06000,
0.08700,435.53000,,0.02700,1037.54000,,0.05900,1983.80000,,0.05500,2383.83000,
0.08800,426.28000,,0.02900,1115.67000,,0.05800,1970.01000,,0.05600,2388.40000,
0.09000,415.00000,,0.03200,1199.53000,,0.05800,1963.46000,,0.05800,2411.49000,
0.09200,398.51000,,0.03500,1267.05000,,0.05800,1978.90000,,0.06000,2445.64000,
0.09400,387.65000,,0.03700,1301.58000,,0.05800,2019.53000,,0.06100,2483.38000,
0.09600,395.27000,,0.03800,1309.06000,,0.06000,2071.73000,,0.06200,2526.45000,
0.09600,420.61000,,0.03900,1299.34000,,0.06200,2119.54000,,0.06300,2562.27000,
0.09700,450.90000,,0.04000,1287.51000,,0.06300,2140.41000,,0.06300,2584.53000,
0.09700,470.48000,,0.04100,1282.29000,,0.06500,2134.38000,,0.06400,2586.79000,
0.09700,473.98000,,0.04200,1285.63000,,0.06500,2111.76000,,0.06500,2574.68000,
0.09800,462.76000,,0.04300,1301.87000,,0.06600,2086.90000,,0.06600,2564.14000,
0.09900,448.84000,,0.04400,1333.84000,,0.06600,2061.17000,,0.06800,2560.43000,
0.10000,433.51000,,0.04500,1381.23000,,0.06600,2042.88000,,0.07100,2556.23000,
0.10200,419.17000,,0.04700,1435.86000,,0.06600,2040.67000,,0.07300,2545.68000,
0.10400,402.23000,,0.05000,1485.44000,,0.06700,2063.39000,,0.07500,2535.41000,
0.10500,386.64000,,0.05000,1508.77000,,0.06800,2108.15000,,0.07500,2531.44000,
0.10500,382.54000,,0.05200,1504.65000,,0.07000,2162.23000,,0.07400,2544.34000,
0.10600,400.51000,,0.05200,1485.67000,,0.07200,2206.84000,,0.07400,2568.21000,
0.10500,430.98000,,0.05300,1473.05000,,0.07400,2224.95000,,0.07300,2595.40000,
0.10600,461.02000,,0.05500,1473.32000,,0.07500,2215.46000,,0.07300,2604.64000,
0.10800,476.24000,,0.05700,1479.63000,,0.07500,2190.96000,,0.07200,2595.32000,
0.10900,472.19000,,0.05700,1484.81000,,0.07500,2162.80000,,0.07200,2578.81000,
0.11100,458.87000,,0.05800,1482.59000,,0.07500,2136.46000,,0.07400,2566.23000,
0.11300,446.17000,,0.05800,1484.61000,,0.07500,2113.95000,,0.07600,2554.65000,
0.11600,430.28000,,0.05800,1496.48000,,0.07500,2102.12000,,0.07800,2538.37000,
0.11700,413.11000,,0.05800,1518.19000,,0.07600,2104.63000,,0.08000,2517.91000,
0.11800,392.61000,,0.05900,1541.83000,,0.07700,2130.77000,,0.08100,2505.25000,
0.11900,383.67000,,0.05900,1556.12000,,0.07900,2169.35000,,0.08100,2513.56000,
0.11900,393.38000,,0.06100,1557.02000,,0.08200,2205.97000,,0.08100,2542.41000,
0.11900,422.95000,,0.06200,1555.45000,,0.08400,2221.90000,,0.08200,2580.87000,
0.12000,455.08000,,0.06500,1554.65000,,0.08500,2219.45000,,0.08300,2609.56000,
0.12100,476.95000,,0.06600,1553.49000,,0.08600,2203.13000,,0.08500,2615.93000,
0.12400,476.36000,,0.06800,1550.02000,,0.08600,2185.62000,,0.08700,2609.92000,
0.12400,465.03000,,0.06900,1545.53000,,0.08600,2169.72000,,0.08800,2592.63000,
0.12500,445.61000,,0.07000,1549.39000,,0.08800,2149.17000,,0.09100,2568.90000,
0.12600,427.94000,,0.07000,1569.05000,,0.09000,2128.91000,,0.09200,2535.06000,
0.12500,407.15000,,0.07000,1601.92000,,0.09200,2117.36000,,0.09300,2503.57000,
0.12500,383.75000,,0.07000,1638.82000,,0.09300,2125.01000,,0.09300,2486.44000,
0.12400,374.03000,,0.07100,1665.23000,,0.09400,2150.56000,,0.09200,2493.62000,
0.12400,385.17000,,0.07200,1673.88000,,0.09500,2181.07000,,0.09200,2526.35000,
0.12400,409.33000,,0.07400,1667.35000,,0.09500,2201.64000,,0.09300,2567.81000,
0.12600,444.27000,,0.07500,1653.48000,,0.09600,2206.26000,,0.09500,2596.49000,
0.12800,467.04000,,0.07600,1641.82000,,0.09700,2198.21000,,0.09600,2602.89000,
0.13100,471.89000,,0.07700,1625.19000,,0.09800,2183.39000,,0.09900,2591.12000,
0.13200,461.21000,,0.07800,1601.41000,,0.10000,2163.36000,,0.10000,2570.60000,
0.13400,445.42000,,0.07900,1584.55000,,0.10300,2132.20000,,0.10100,2547.63000,
0.13500,429.03000,,0.07800,1582.98000,,0.10500,2096.53000,,0.10100,2518.35000,
0.13600,409.27000,,0.07800,1602.63000,,0.10600,2067.52000,,0.10100,2489.22000,
0.13600,387.58000,,0.07700,1637.23000,,0.10600,2059.51000,,0.10200,2473.54000,
0.13700,373.76000,,0.07700,1667.55000,,0.10600,2078.79000,,0.10400,2481.04000,
0.13700,380.26000,,0.07800,1683.31000,,0.10600,2110.66000,,0.10500,2514.37000,
0.13800,406.36000,,0.07900,1685.47000,,0.10500,2137.46000,,0.10700,2546.14000,
0.14000,439.48000,,0.08000,1677.42000,,0.10500,2147.74000,,0.11000,2563.74000,
0.14100,463.04000,,0.08300,1666.34000,,0.10500,2145.03000,,0.11200,2565.22000,
0.14200,468.15000,,0.08500,1651.56000,,0.10600,2131.98000,,0.11400,2549.61000,
0.14300,458.02000,,0.08600,1625.20000,,0.10700,2113.86000,,0.11400,2527.82000,
0.14400,440.55000,,0.08700,1602.16000,,0.10900,2085.86000,,0.11400,2508.05000,
,,,0.08700,1595.73000,,0.11100,2052.40000,,0.11400,2482.35000,
,,,0.08700,1614.54000,,0.11200,2027.15000,,0.11300,2455.28000,
,,,0.08700,1650.34000,,0.11300,2022.53000,,0.11300,2435.24000,
,,,0.08800,1686.75000,,0.11300,2044.18000,,0.11300,2434.42000,
,,,0.09000,1710.89000,,0.11400,2078.89000,,0.11400,2456.97000,
,,,0.09300,1713.38000,,0.11500,2108.31000,,0.11600,2489.18000,
,,,0.09500,1702.89000,,0.11600,2119.52000,,0.11800,2517.64000,
,,,0.09600,1685.07000,,0.11800,2115.87000,,0.12000,2528.97000,
,,,0.09800,1661.83000,,0.12000,2099.72000,,0.12200,2522.83000,
,,,0.09900,1630.62000,,0.12200,2075.61000,,0.12200,2506.53000,
,,,0.10000,1598.29000,,0.12400,2044.81000,,0.12200,2484.52000,
,,,0.10100,1586.08000,,0.12500,2009.37000,,0.12300,2458.56000,
,,,0.10200,1596.07000,,0.12700,1983.33000,,0.12300,2428.57000,
,,,0.10300,1627.56000,,0.12700,1984.13000,,0.12400,2411.04000,
,,,0.10400,1662.00000,,0.12700,2005.45000,,0.12500,2416.69000,
,,,0.10600,1681.42000,,0.12700,2044.06000,,0.12800,2446.40000,
,,,0.10700,1680.99000,,0.12800,2074.35000,,0.13000,2489.68000,
,,,0.10800,1669.58000,,0.13100,2087.63000,,0.13200,2524.38000,
,,,0.10800,1652.88000,,0.13300,2080.94000,,0.13300,2540.56000,
,,,0.10800,1632.30000,,0.13400,2066.71000,,0.13300,2541.38000,
,,,0.10900,1605.50000,,0.13600,2047.11000,,0.13200,2533.46000,
,,,0.10800,1576.76000,,0.13700,2022.74000,,0.13200,2513.76000,
,,,0.10900,1557.69000,,0.13800,1995.56000,,0.13000,2484.71000,
,,,0.11000,1563.72000,,0.13800,1974.43000,,0.13100,2449.59000,
,,,0.11100,1591.05000,,0.13800,1976.14000,,0.13200,2421.57000,
,,,0.11300,1622.78000,,0.13800,2005.94000,,0.13300,2416.05000,
,,,0.11400,1645.31000,,0.13800,2046.42000,,0.13400,2438.21000,
,,,0.11600,1650.01000,,0.13900,2081.93000,,0.13600,2479.28000,
,,,0.11700,1637.11000,,0.14000,2098.40000,,0.13800,2517.32000,
,,,0.11700,1621.59000,,0.14100,2096.98000,,0.14000,2539.92000,
,,,0.11700,1601.10000,,0.14200,2085.35000,,0.14100,2544.80000,
,,,0.11800,1575.04000,,0.14200,2070.67000,,0.14100,2533.26000,
,,,0.11900,1544.63000,,0.14300,2049.25000,,0.14100,2509.91000,
,,,0.12100,1525.04000,,0.14300,2021.55000,,0.14100,2479.39000,
,,,0.12300,1526.01000,,0.14300,2002.45000,,0.14100,2447.79000,
,,,0.12400,1548.21000,,0.14200,2002.14000,,0.14100,2428.14000,
,,,0.12600,1581.96000,,0.14200,2022.17000,,0.14200,2431.24000,
,,,0.12700,1607.32000,,0.14100,2057.58000,,0.14100,2456.81000,
,,,0.12700,1617.28000,,0.14100,2090.88000,,0.14200,2496.53000,
,,,0.12800,1611.03000,,0.14200,2110.84000,,0.14200,2528.89000,
,,,0.12800,1595.39000,,0.14300,2112.28000,,0.14200,2541.01000,
,,,0.12800,1572.37000,,0.14500,2102.71000,,0.14200,2534.38000,
,,,0.13000,1542.76000,,0.14500,2083.10000,,0.14200,2514.63000,
,,,0.13200,1511.79000,,0.14600,2055.82000,,0.14300,2487.82000,
,,,0.13400,1494.84000,,0.14600,2029.50000,,0.14200,2454.00000,
,,,0.13500,1500.28000,,,,,0.14300,2422.49000,
,,,0.13700,1528.97000,,,,,0.14400,2401.46000,
,,,0.13900,1562.92000,,,,,,,
,,,0.14000,1585.98000,,,,,,,
,,,0.14100,1593.76000,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
